code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
600080,金花股份,中成药,陕西,104.22,3.05,3.05,145155.67,37836.78,36653.98,25259.85,0.83,0.083,3.51,3.3,1997/6/12,40997.94,1.34,-17.34,15.83,63.47,5.35,27708
300269,联建光电,半导体,深圳,34.42,2.6,6.14,743006.44,209402.42,30950.3,397083.75,6.47,0.7,8.73,2.59,2011/10/12,73768,1.2,84.12,80.16,36.1,14.37,18410
651,格力电器,家用电器,广东,12.74,59.72,60.16,18170746,13945858,1672439.13,18840.06,0.03,1.867,8.27,3.83,1996/11/18,3994264.75,6.64,1.11,12.82,34.12,13.62,339957
27,深圳能源,火力发电,深圳,15.82,39.64,39.64,6045412,1612276.63,1941115.75,431999.91,1.09,0.337,5.4,1.32,1993/9/3,822332.75,2.07,-0.59,-15.79,31.93,15.51,132518
600577,精达股份,电气设备,安徽,53.7,14.19,19.55,490508.31,325462.25,88981.38,2283.4,0.01,0.115,1.49,4.12,2002/9/11,79225.46,0.41,5.14,72.45,11.25,2.75,143799
2035,华帝股份,家用电器,广东,45.24,3.2,3.64,324961.69,221878.02,57566.88,40460.23,1.11,0.56,4.36,7.65,2004/9/1,69770.86,1.92,18.41,51.69,41.17,6.45,8349
14,沙河股份,全国地产,深圳,128.02,2.02,2.02,187381.44,169668.77,1992.68,996.57,0.05,0.142,3.65,4.97,1992/6/2,30593.05,1.52,50.23,-46.01,20.91,4.61,18453
2143,印纪传媒,影视音像,四川,76.08,2.25,11.06,332620.69,290917,1952.29,-1656.23,-0.01,0.358,1.74,20.87,2007/7/20,174191.5,1.57,40.48,21.37,38.46,23.67,8965
300238,冠昊生物,医疗保健,广东,123.95,1.89,2.66,163669.27,49155.71,19359.74,82769.43,3.11,0.26,5.22,5.84,2011/7/6,26163.43,0.98,38.3,3.16,78.13,20.9,19116
2029,七 匹 狼,服饰,福建,34.97,7.55,7.56,745572.94,506380,41964.55,187980.25,2.49,0.223,6.75,1.54,2004/8/6,190461.06,2.52,1.29,-7.16,40.46,9.43,45907
600006,东风汽车,汽车整车,湖北,45.42,20,20,1967963.75,1258006.63,297855.38,61461.46,0.31,0.114,3.26,2.11,1999/7/27,317328.66,1.59,-9.17,-31.56,15,2.17,142371
996,中国中期,公路,北京,270.76,2.3,2.3,67265.5,4912.2,5148.87,25696.5,1.12,0.066,2.62,9.14,2000/7/18,7961.58,0.35,23.12,38.46,7.92,22.76,36460
600677,航天通信,通信设备,浙江,346.63,4.16,5.22,1300654,914475.38,145834.06,212387.3,4.07,0.038,5.97,2.97,1993/9/28,46009.62,0.88,119.8,142.83,13.43,0.24,81460
2780,三夫户外,其他商业,北京,112.44,0.37,0.67,48291.12,46465.85,1165.71,17042.6,2.53,0.524,5.81,10.15,2015/12/9,15125.34,2.24,7.84,14.83,46.23,10.01,17906
600379,宝光股份,电气设备,陕西,95.9,2.36,2.36,90618.49,66925.25,21353.52,757.78,0.03,0.173,2.02,10.95,2002/1/16,20365.86,0.86,24.74,64.18,26.29,7.64,12044
423,东阿阿胶,中成药,山东,23.16,6.54,6.54,994956.5,758283.31,141792.56,69067.68,1.06,2.832,12.78,5.13,1996/7/29,652196.5,9.97,15.92,14,66.95,29.32,65640
300099,尤洛卡,电器仪表,山东,0,3.79,6.6,90496.71,53614.8,18620.18,5493.71,0.08,-0.007,1.5,8.89,2010/8/6,17295.74,0.26,42.92,28.18,57.69,-5.37,33974
603601,再升科技,玻璃,重庆,81.08,1.56,3.86,135298.5,83638.95,18328.17,60751.98,1.57,0.22,2.82,6.02,2015/1/22,7517.22,0.19,36.95,58.19,43.63,25.26,26254
600919,江苏银行,银行,江苏,10.88,11.54,115.44,159829248,0,553778.88,1607527.75,1.39,0.98,7.16,1.4,2016/8/2,2287858,1.98,11.81,11.72,0,33.84,240799
603686,龙马环卫,专用机械,福建,44.9,1.06,2.72,264577.31,230660.45,17351.65,34065.9,1.25,0.79,4.39,7.93,2015/1/26,55937.38,2.05,44.8,40.16,30.88,9.53,17643
2522,浙江众成,塑料,浙江,173.48,6.17,8.83,197005.38,75766.21,66289.75,27619.49,0.31,0.084,1.61,12.12,2010/12/10,20385.45,0.23,4.88,88.74,39.55,19.59,44514
825,太钢不锈,特种钢,山西,25.56,56.96,56.96,7333644,1748176.25,4602481.5,680322,1.19,0.148,3.89,1.3,1998/10/21,765762.25,1.34,-23.11,209.88,14.66,2.11,205586
2836,新宏泽,广告包装,广东,115.63,0.2,0.8,55036.01,33925.35,13758.05,11493.91,1.44,0.84,4.94,14.71,2016/12/29,17163.85,2.15,10.05,37.68,38.81,18.75,8296
600325,华发股份,区域地产,广东,31.47,10.63,11.77,11819542,11162634,68179.57,562723.19,4.78,0.323,10.31,1.31,2004/2/25,495913.34,4.21,123.73,27.91,28.6,4.93,36411
2483,润邦股份,工程机械,江苏,58.5,3.59,4.2,452409.31,263823.91,100966.38,183161.94,4.36,0.187,5.75,2.54,2010/9/29,12196.82,0.29,44.15,501.19,19.27,3.65,34614
600798,宁波海运,水运,浙江,87.25,10.31,10.31,638740.25,42890.8,209635.22,116821.22,1.13,0.086,2.63,2.84,1997/4/23,28923.35,0.28,8.08,450.7,30.41,7.81,84368
2771,真视通,软件服务,北京,95.63,0.36,0.81,89471.34,75980,12191.21,27494.1,3.41,0.525,6.99,9.59,2015/6/29,20347.75,2.52,27.35,5.31,23.91,8.14,14202
300123,太阳鸟,船舶,湖南,433.09,2.74,3.02,208355.2,100266.9,55272.63,62924.66,2.09,0.032,3.57,5.18,2010/9/28,13954.12,0.46,22.9,164.99,25.17,2.39,22036
2365,永安药业,化学制药,湖北,73.57,1.54,1.96,127331.82,63070.05,55150.55,60456.65,3.08,0.33,6.27,3.72,2010/3/5,31203.98,1.59,-1.17,253.71,25.66,11.34,17065
300136,信维通信,通信设备,深圳,72.94,7.22,9.81,272031.41,166518.55,34193.93,13786.01,0.14,0.353,1.8,19.05,2010/11/5,59049.7,0.6,66.45,146.91,34.03,23.02,17342
2826,易明医药,化学制药,西藏,94.93,0.47,1.9,64636.07,45201.03,13785.65,22410.92,1.18,0.38,2.93,9.46,2016/12/9,13013.13,0.69,30.24,10.65,70.89,12.25,26111
603898,好莱客,家居用品,广东,43.7,0.87,3,157203.16,88502.21,46498.26,31411.74,1.05,0.86,3.86,9.51,2015/2/17,55087.41,1.84,32.44,55.3,39.98,17.6,8787
600056,中国医药,医药商业,北京,26.64,10.12,10.68,1952257.63,1606081.5,140137.47,242736.42,2.27,0.92,6.44,3.67,1997/5/15,276011.44,2.58,25.12,54.31,11.79,3.68,44335
2027,分众传媒,软件服务,广东,25.34,35.43,87.37,994345.81,799665.63,25742.42,17212.74,0.02,0.37,0.76,15.95,2004/8/4,606087.13,0.69,18.8,26.49,70.09,41.73,39762
600633,浙报传媒,出版业,浙江,42.36,11.88,13.02,931954.38,288662.56,49930.69,329917.22,2.53,0.51,4.97,4,1993/3/4,176984.17,1.36,2.6,0.32,34.47,17.23,41726
600163,中闽能源,新型电力,福建,56.28,7.54,9.99,310452.06,64227.13,209931.16,209174.42,2.09,0.106,1.58,3.76,1998/6/2,-158157.92,-1.58,-41.94,1723.39,59.95,26.76,35291
600122,宏图高科,其他商业,江苏,37.6,11.52,11.54,1885227.63,1423473.5,71135,209496.45,1.82,0.258,7.14,1.81,1998/4/20,238891.91,2.07,6.28,-19.32,8.09,1.98,104143
300145,中金环境,专用机械,浙江,48.27,3.94,6.68,653955.56,263102.56,90126.31,205143.27,3.07,0.441,5.73,4.95,2010/12/9,101223.52,1.52,51.66,107.95,43.88,16.78,7236
300495,美尚生态,建筑施工,江苏,51.76,0.89,2.4,484281.44,290282.31,6194.58,187731.81,7.81,1.03,10.83,4.15,2015/12/22,54245.41,2.26,81.77,89.3,31.51,19.81,15257
2514,宝馨科技,机械基件,江苏,87.24,3.56,5.54,151397.05,72374.71,21335.85,28027.81,0.51,0.073,1.88,4.49,2010/12/3,18799.99,0.34,-0.15,-2.8,38.23,9.45,38721
2405,四维图新,软件服务,北京,191.97,10.08,12.83,380896.88,229472.27,12987.24,87630.43,0.68,0.1,2.56,7.85,2010/5/18,84754.93,0.66,6.39,10.2,75.82,9.58,95490
28,国药一致,医药商业,深圳,33.44,3.08,4.28,1496209.63,1313920,96873.88,186389.45,4.35,1.688,16.73,4.5,1993/8/9,365957.41,8.55,8.85,25.91,7.17,3.37,13346
601989,中国重工,船舶,北京,121,183.62,183.62,19095918,12876884,3203518.5,2387969.5,1.3,0.046,3.33,2.23,2009/12/16,1376245.25,0.75,-15.3,291.82,8.98,2.51,905318
852,石化机械,化工机械,湖北,0,5.98,5.98,681488.31,522057.84,128397.76,94717.9,1.58,-0.57,3.69,3.47,1998/11/26,46802.73,0.78,-36.6,-525.11,7.41,-15.55,21748
2054,德美化工,化工原料,广东,29.06,3.15,4.19,297474.72,134030.63,63887.98,14820.12,0.35,0.312,4.28,2.83,2006/7/25,108882.36,2.6,-1.23,-59.24,24.92,7.71,37666
2340,格林美,小金属,深圳,91.12,23.34,29.35,1814793.38,885738.69,370582.19,281948.84,0.96,0.068,2.31,3.55,2010/1/22,93506.25,0.32,60.94,5.22,13.93,3.83,201648
923,河北宣工,工程机械,河北,0,1.98,1.98,138403.86,76438.56,42160.03,16355.75,0.83,-0.158,1.96,12.75,1999/7/14,-2328.7,-0.12,23.67,2.33,14.52,-17.26,27609
600316,洪都航空,航空,江西,1394.57,7.17,7.17,1063843.13,621887.06,191016.84,314009.31,4.38,0.015,7.06,3.04,2000/12/15,67672.11,0.94,30.71,-85.88,5.77,0.3,54308
2723,金莱特,家用电器,广东,711.61,0.77,1.87,104905,44975.44,45605.62,22370.9,1.2,0.035,3.44,7.3,2014/1/29,19643,1.05,9.6,-84.58,11.7,0.86,12675
600693,东百集团,百货,福建,1105.87,6.85,8.98,608741.94,493345.16,35413.05,12742.17,0.14,0.009,2.03,6.56,1993/11/22,61534.1,0.69,5.66,-80.86,17.49,0.66,14668
300424,航新科技,航空,广东,163.46,0.69,1.33,103759.78,60913.05,27274.61,30312.88,2.28,0.277,6.4,9.45,2015/4/22,38192.94,2.87,-3.19,-25.85,43.28,13.85,14595
600967,北方创业,运输设备,内蒙,0,8.23,16.9,328619.41,222175.47,49139.4,71544.57,0.42,-0.019,2.72,5.57,2004/5/18,58407.7,0.35,11.57,52.49,10.21,-2.75,55137
603330,上海天洋,塑料,上海,100.24,0.15,0.6,44976.35,28997.66,0,0,0,0.664,7.75,11.45,2017/2/13,0,0,0,0,0,13.88,14043
600719,大连热电,供气供热,辽宁,280.39,4.05,4.05,166481.67,61667.55,78086.88,10217.32,0.25,0.034,1.8,5.24,1996/7/16,5520.41,0.14,3.36,27.74,16.99,1.92,22800
300258,精锻科技,汽车配件,江苏,38.09,3.75,4.05,200490.05,64222.68,105168.88,35061.7,0.87,0.338,3.46,4.96,2011/8/26,58012.13,1.43,24.92,35.54,40.37,21.71,12818
2718,友邦吊顶,家居用品,浙江,52.98,0.59,0.88,109148.61,88527.46,8557.92,45059.78,5.14,1.01,11.33,6.01,2014/1/28,40488.64,4.62,17.8,11.42,49.61,26.19,7000
2761,多喜爱,纺织,湖南,529.69,0.55,1.2,86428.07,50263.25,7860.81,24021.73,2,0.081,5.31,10.82,2015/6/10,24735.97,2.06,12.45,-44.5,36.62,2.17,7311
300612,宣亚国际,广告包装,北京,180.27,0.18,0.72,25120.46,22781.68,780.1,2129.62,0.3,0.384,2.93,31.55,2017/2/15,7384.65,1.03,0,0,44.56,9.43,32979
623,吉林敖东,中成药,吉林,15.95,8.25,8.94,1932849.63,262118.09,173727.63,406667.25,4.55,1.45,19.72,1.55,1996/10/28,1152932.88,12.89,12.65,-36.49,71.67,69.1,88662
600335,国机汽车,汽车配件,天津,18.66,8.62,10.3,2073123.63,1581908.75,149576.69,220883.75,2.15,0.56,6.72,1.92,2001/3/5,331493.56,3.22,-22.66,-3.17,4.48,1.37,19047
603909,合诚股份,建筑施工,福建,91.37,0.25,1,64846.51,51591.43,9383.28,21466.53,2.15,0.47,5.57,8.49,2016/6/28,22802.51,2.28,0,0,41.64,20.66,18484
990,诚志股份,化工原料,江西,179.84,2.97,12.53,2015022.38,628761,450050.34,1292700.63,10.32,0.29,12.2,1.3,2000/7/6,103800.78,0.83,-36.32,-19.66,25.55,4.3,18576
300568,星源材质,化工原料,深圳,58.14,0.3,1.2,187609.56,107099.72,47395.85,80850.77,6.74,1.68,10.28,7.33,2016/12/1,25466.35,2.12,18.97,31.34,60.6,30.73,18985
2642,荣之联,软件服务,北京,206.55,3.83,6.36,448285.19,234534.88,21969.74,238218.34,3.75,0.089,5.71,4.3,2011/12/20,55841.63,0.88,-3.29,-23.31,37.74,6.07,40380
600408,安泰集团,焦炭加工,山西,0,10.07,10.07,647191.25,280033.75,320595.38,146303.84,1.45,-0.578,0.96,4.28,2003/2/12,-163843.27,-1.63,42.84,-1635.53,5.28,-17.19,77751
300335,迪森股份,供气供热,广东,48.93,2.62,3.62,261611.55,113293.57,50770.75,32498.34,0.9,0.352,2.92,5.9,2012/7/10,34799.19,0.96,25.8,44.81,35.56,12.02,9714
603030,全筑股份,装修装饰,上海,55.67,0.64,1.77,395627.47,339176.81,45828.1,81535.61,4.6,0.61,8.06,3.91,2015/3/20,39874.2,2.25,52.68,21.64,10.24,3.01,12319
601009,南京银行,银行,江苏,8.6,57.64,60.59,102321760,0,511091,1518646.25,2.51,1.048,10.17,1.18,2007/7/19,1694453.25,2.8,26.84,22.67,0,30.16,85675
2362,汉王科技,电脑设备,北京,249.39,1.76,2.17,93873.18,61439.05,19408.67,98339.93,4.53,0.098,3.58,6.83,2010/3/3,-45383.3,-2.09,14.13,342.09,48.07,5.13,46799
2590,万安科技,汽车配件,浙江,79.6,4.35,4.8,295229.69,199134.3,56099.32,81836.28,1.71,0.169,3.53,5.07,2011/6/10,36159.34,0.75,23,35.73,24.2,5.53,52283
628,高新发展,园区开发,四川,145.84,1.88,3.11,348360.53,275101.78,14443.54,72843.11,2.34,0.094,2.34,5.86,1996/11/18,-32013.01,-1.03,-37.1,-37.07,14.91,2.64,24557
722,湖南发展,水力发电,湖南,39.36,4.64,4.64,304064.97,85977.52,167398,213774.05,4.61,0.299,5.85,2.68,1997/5/22,10504.41,0.23,8.03,22.07,63.34,60.3,43563
